FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2020,Operating Fund Transfers,University of Texas System,0011 - Available University Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$199,507 "
2020,Operating Fund Transfers,West Texas A&M University,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$39 
2019,Operating Fund Transfers,Attorney General,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$575,989 "
2019,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,980 "
2019,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5136 - Gr Acct - Cancer Prevention And Research,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$985,164 "
2019,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5168 - Gr Acct-Cancer Prevention Research I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$265,461 "
2019,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$107,819,491 "
2019,Operating Fund Transfers,Commission on Jail Standards,5172 - Gr Acct-Prisoner Safety,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$74 
2019,Operating Fund Transfers,Commission on State Emergency Communications,0875 - Emerg Svs Fee On Wireless Telecom Tr Fnd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,665,150 "
2019,Operating Fund Transfers,Commission on State Emergency Communications,5007 - Gr Acct Comm On State Emergency Comm,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,000,000 "
2019,Operating Fund Transfers,Commission on State Emergency Communications,5050 - Gr Acct-911 Service Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$87,801,841 "
2019,Operating Fund Transfers,Comptroller of Public Accounts,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$970,908 "
2019,Operating Fund Transfers,Comptroller of Public Accounts,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($117,131)"
2019,Operating Fund Transfers,Comptroller-State Energy Conservation Office,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$38,044,714 "
2019,Operating Fund Transfers,Comptroller-State Energy Conservation Office,5005 - Gr Acct - Oil Overcharge,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,079,389 "
2019,Operating Fund Transfers,Comptroller-State Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,115,277,830 "
2019,Operating Fund Transfers,Comptroller-State Fiscal,5040 - Gr Acct-Tobacco Settlement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,994,719 "
2019,Operating Fund Transfers,Department of Agriculture,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,563,828 "
2019,Operating Fund Transfers,Department of Agriculture,0183 - Tx Economic Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,976,792 "
2019,Operating Fund Transfers,Department of Agriculture,0364 - Perm Endow Fd Rurl Com Health Care Invst,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,900 "
2019,Operating Fund Transfers,Department of Agriculture,0683 - Tex Agricultural Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,546,101 "
2019,Operating Fund Transfers,Department of Agriculture,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$73,727 "
2019,Operating Fund Transfers,Department of Agriculture,5047 - Gr Acct-Perm Fd Rural Health Fac Cap Imp,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$645,810 "
2019,Operating Fund Transfers,Department of Family and Protective Services,5085 - Gr Acct-Child Abuse Neg/Prev Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,355,657 "
2019,Operating Fund Transfers,Department of State Health Services,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$13,541,691 "
2019,Operating Fund Transfers,Department of State Health Services,0019 - Gr Acct-Vital Statistics,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,000,000 "
2019,Operating Fund Transfers,Department of State Health Services,0273 - Gr Acct-Fed Health & Health Lab Funding,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,064,711 "
2019,Operating Fund Transfers,Department of State Health Services,0341 - Gr Acct-Food & Drug Retail Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,000,000 "
2019,Operating Fund Transfers,Department of State Health Services,0512 - Gr Acct-Bureau Of Emergcy Mgt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,000,000 "
2019,Operating Fund Transfers,Department of State Health Services,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$891,692 "
2019,Operating Fund Transfers,Department of State Health Services,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$188,361 "
2019,Operating Fund Transfers,Department of State Health Services,5009 - Gr Acct-Children W/Spec Healthcare Needs,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$743,335 "
2019,Operating Fund Transfers,Department of State Health Services,5017 - Gr Acct-Asbestos Removal Licensure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,000,000 "
2019,Operating Fund Transfers,Department of State Health Services,5020 - Gr Acct-Workplace Chemicals List,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$36,870 "
2019,Operating Fund Transfers,Department of State Health Services,5021 - Gr Acct-Cert Of Mammography Systems,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,000,000 "
2019,Operating Fund Transfers,Department of State Health Services,5022 - Gr Acct - Oysters Sales,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$962,496 "
2019,Operating Fund Transfers,Department of State Health Services,5024 - Gr Acct-Food & Drug Registration,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,000,000 "
2019,Operating Fund Transfers,Department of State Health Services,5044 - Gr Acct-Perm Fd Health/Tobacco Ed/Enforc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,335,977 "
2019,Operating Fund Transfers,Department of State Health Services,5045 - Gr Acct-Perm Fd Children & Public Health,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$748,956 "
2019,Operating Fund Transfers,Department of State Health Services,5046 - Gr Acct-Perm Fd For Ems And Trauma Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$906,421 "
2019,Operating Fund Transfers,Department of State Health Services,5048 - Gr Acct-Perm Hosp Cptl Imp/Ctr Infec Dis,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$46,964 "
2019,Operating Fund Transfers,Department of State Health Services,5096 - Gr Acct - Perpetual Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,274,602 "
2019,Operating Fund Transfers,Department of State Health Services,"5108 - Gr Acct - Ems, Trauma Fac, Trauma Sys",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$28,268,029 "
2019,Operating Fund Transfers,Department of State Health Services,5125 - Gr Acct - Childhood Immunization,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$59,151 "
2019,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,488,530 "
2019,Operating Fund Transfers,Department of State Health Services,7660 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$24,443 "
2019,Operating Fund Transfers,District Courts-Comptroller's Judiciary Section,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,630,555 "
2019,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2019,Operating Fund Transfers,General Land Office,0044 - Permanent School Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,958,168 "
2019,Operating Fund Transfers,General Land Office,"0383 - Vet Land Bd-Housing Prog,Tax-Exempt Issu",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,679 "
2019,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$93,485 "
2019,Operating Fund Transfers,General Land Office,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$38,041,216 "
2019,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,927,505 "
2019,Operating Fund Transfers,Governor-Fiscal,0224 - Gr Acct-Governors Ofc Federal Proj,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,093,914 "
2019,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$41,268,996 "
2019,Operating Fund Transfers,Governor-Fiscal,0588 - Small Business Incubator Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,977,278 "
2019,Operating Fund Transfers,Governor-Fiscal,0589 - Texas Product Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,243,480 "
2019,Operating Fund Transfers,Governor-Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$43,226,406 "
2019,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$65,833 "
2019,Operating Fund Transfers,Governor-Fiscal,0806 - Spaceport Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,660,210 "
2019,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,416,081 "
2019,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$45,038,895 "
2019,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$50,340,304 "
2019,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,079,534 "
2019,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,068,467 "
2019,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,750,808 "
2019,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$246,388,079 "
2019,Operating Fund Transfers,Governor-Fiscal,5114 - Gr Acct-Tx Military Value Revolving Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$124,048 "
2019,Operating Fund Transfers,Governor-Fiscal,5149 - Gr Acct-Bp Oil Spill Tx Response Grant,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$109,344 "
2019,Operating Fund Transfers,Governor-Fiscal,5153 - Gr Acct-Emergency Radio Infrastructure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,782,467 "
2019,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$58,975,788 "
2019,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,388,158 "
2019,Operating Fund Transfers,Governor-Fiscal,5170 - Gr Acct-Evidence Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$427,460 "
2019,Operating Fund Transfers,Governor-Fiscal,5174 - Gr Acct-Drug Court,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,144,364 "
2019,Operating Fund Transfers,Governor-Fiscal,7065 - Tpfa Go Series 2016 Int & Sink Fund Tmpc,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$7 
2019,Operating Fund Transfers,Health and Human Services Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$444,250 "
2019,Operating Fund Transfers,Health and Human Services Commission,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$12,420 "
2019,Operating Fund Transfers,Health and Human Services Commission,0857 - Assisted Living Facility Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,000,000 "
2019,Operating Fund Transfers,Health and Human Services Commission,0992 - Nursing/Convales Home Trst Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$19,630,767 "
2019,Operating Fund Transfers,Health and Human Services Commission,5018 - Gr Acct - Home Health Services,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,853,737 "
2019,Operating Fund Transfers,Health and Human Services Commission,5049 - Gr Acct-St Owned Multicat Teaching Hosp,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,733,798 "
2019,Operating Fund Transfers,Health and Human Services Commission,7658 - Tpfa Go Cml Paper Ser2008 Dads Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,857,279 "
2019,Operating Fund Transfers,Health and Human Services Commission,7660 - Tpfa Go Cml Paper Ser2008 Dshs Prj 1d Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$941,811 "
2019,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$163,187 "
2019,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$27,038,889 "
2019,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$124,909,635 "
